"Date","Manufacturer","CapacityMB","TotalPriceUSD","Kind","ppMB"
1956-01-01,"IBM",5,50000,"HDD",10240000
1956-01-01,"IBM",3.75,34500,"HDD",9420800
1959-01-01,"IBM",7.5,57000,"HDD",7782400
1960-01-01,"IBM",10,36000,"HDD",3686400
1964-01-01,"IBM",7.25,25510,"HDD",3603067.5862069
1966-01-01,"IBM",29.176,30555,"HDD",1072399.23224568
1970-01-01,"IBM",100,25970,"HDD",265932.8
1973-01-01,"Other",2.4,6120,"HDD",2611200
1974-01-01,"IBM",200,37000,"HDD",189440
1975-01-01,"Other",0.0879,1000,"HDD",11649601.8202503
1979-01-01,"Other",0.1758,529,"HDD",3081319.6814562
1980-01-01,"Morrow Designs",26,5000,"HDD",196923.076923077
1980-01-01,"Morrow Designs",26,5000,"HDD",196923.076923077
1980-01-01,"Other",0.1992,695,"HDD",3572690.76305221
1980-07-01,"Other",18,4199,"HDD",238876.444444444
1980-07-01,"Other",18,4199,"HDD",238876.444444444
1981-01-01,"Other",1.2,1225,"HDD",1045333.33333333
1981-09-01,"Other",5,3500,"HDD",716800
1981-09-01,"Other",5,3500,"HDD",716800
1981-11-01,"Seagate",5,1700,"HDD",348160
1981-11-01,"Seagate",5,1700,"HDD",348160
1981-12-01,"Other",6.3,2895,"HDD",470552.380952381
1981-12-01,"Morrow Designs",10,2999,"HDD",307097.6
1981-12-01,"Morrow Designs",10,2949,"HDD",301977.6
1981-12-01,"Other",19,5495,"HDD",296151.578947368
1981-12-01,"Morrow Designs",20,3829,"HDD",196044.8
1981-12-01,"Morrow Designs",26,3949,"HDD",155529.846153846
1981-12-01,"Morrow Designs",26,3599,"HDD",141745.230769231
1981-12-01,"Other",6.3,2895,"HDD",470552.380952381
1981-12-01,"Morrow Designs",10,2999,"HDD",307097.6
1981-12-01,"Morrow Designs",10,2949,"HDD",301977.6
1981-12-01,"Other",19,5495,"HDD",296151.578947368
1981-12-01,"Morrow Designs",20,3829,"HDD",196044.8
1981-12-01,"Morrow Designs",26,3949,"HDD",155529.846153846
1981-12-01,"Morrow Designs",26,3599,"HDD",141745.230769231
1982-01-01,"Other",19,5495,"HDD",296151.578947368
1983-01-01,"Other",5,1595,"HDD",326656
1983-12-01,"Corvus",6,1895,"HDD",323413.333333333
1983-12-01,"Corvus",10,2695,"HDD",275968
1983-12-01,"Other",10,1895,"HDD",194048
1983-12-01,"Corvus",20,3495,"HDD",178944
1983-12-01,"Davong",10,1650,"HDD",168960
1983-12-01,"Other",16,2095,"HDD",134080
1983-12-01,"Davong",21,2495,"HDD",121660.952380952
1983-12-01,"Corvus",6,1895,"HDD",323413.333333333
1983-12-01,"Corvus",10,2695,"HDD",275968
1983-12-01,"Other",10,1895,"HDD",194048
1983-12-01,"Corvus",20,3495,"HDD",178944
1983-12-01,"Davong",10,1650,"HDD",168960
1983-12-01,"Other",16,2095,"HDD",134080
1983-12-01,"Davong",21,2495,"HDD",121660.952380952
1984-01-01,"Other",0.7031,398,"HDD",579650.120893187
1984-03-01,"Other",5,1399,"HDD",286515.2
1984-03-01,"Other",5,1349,"HDD",276275.2
